forecast_date,location,target,type,quantile,target_end_date,value
2020-07-20,20,1 wk ahead cum death,quantile,0.01,2020-07-25,313.0
2020-07-20,21,1 wk ahead cum death,quantile,0.01,2020-07-25,679.0
2020-07-20,22,1 wk ahead cum death,quantile,0.01,2020-07-25,3582.0
2020-07-20,23,1 wk ahead cum death,quantile,0.01,2020-07-25,117.0
2020-07-20,24,1 wk ahead cum death,quantile,0.01,2020-07-25,3392.0
2020-07-20,25,1 wk ahead cum death,quantile,0.01,2020-07-25,8460.0
2020-07-20,26,1 wk ahead cum death,quantile,0.01,2020-07-25,6377.0
2020-07-20,27,1 wk ahead cum death,quantile,0.01,2020-07-25,1587.0
2020-07-20,28,1 wk ahead cum death,quantile,0.01,2020-07-25,1389.0
2020-07-20,29,1 wk ahead cum death,quantile,0.01,2020-07-25,1146.0
2020-07-20,30,1 wk ahead cum death,quantile,0.01,2020-07-25,37.0
2020-07-20,31,1 wk ahead cum death,quantile,0.01,2020-07-25,301.0
2020-07-20,32,1 wk ahead cum death,quantile,0.01,2020-07-25,662.0
2020-07-20,33,1 wk ahead cum death,quantile,0.01,2020-07-25,398.0
2020-07-20,34,1 wk ahead cum death,quantile,0.01,2020-07-25,15753.0
2020-07-20,35,1 wk ahead cum death,quantile,0.01,2020-07-25,576.0
2020-07-20,36,1 wk ahead cum death,quantile,0.01,2020-07-25,32534.0
2020-07-20,37,1 wk ahead cum death,quantile,0.01,2020-07-25,1682.0
2020-07-20,38,1 wk ahead cum death,quantile,0.01,2020-07-25,92.0
2020-07-20,39,1 wk ahead cum death,quantile,0.01,2020-07-25,3204.0
2020-07-20,40,1 wk ahead cum death,quantile,0.01,2020-07-25,456.0
2020-07-20,41,1 wk ahead cum death,quantile,0.01,2020-07-25,268.0
2020-07-20,42,1 wk ahead cum death,quantile,0.01,2020-07-25,7040.0
2020-07-20,44,1 wk ahead cum death,quantile,0.01,2020-07-25,992.0
2020-07-20,45,1 wk ahead cum death,quantile,0.01,2020-07-25,1221.0
2020-07-20,46,1 wk ahead cum death,quantile,0.01,2020-07-25,118.0
2020-07-20,47,1 wk ahead cum death,quantile,0.01,2020-07-25,881.0
2020-07-20,48,1 wk ahead cum death,quantile,0.01,2020-07-25,4231.0
2020-07-20,49,1 wk ahead cum death,quantile,0.01,2020-07-25,251.0
2020-07-20,50,1 wk ahead cum death,quantile,0.01,2020-07-25,56.0
2020-07-20,51,1 wk ahead cum death,quantile,0.01,2020-07-25,2048.0
2020-07-20,53,1 wk ahead cum death,quantile,0.01,2020-07-25,1468.0
2020-07-20,54,1 wk ahead cum death,quantile,0.01,2020-07-25,100.0
2020-07-20,55,1 wk ahead cum death,quantile,0.01,2020-07-25,847.0
2020-07-20,56,1 wk ahead cum death,quantile,0.01,2020-07-25,25.0
2020-07-20,US,1 wk ahead cum death,quantile,0.01,2020-07-25,142376.0
2020-07-20,01,1 wk ahead cum death,quantile,0.025,2020-07-25,1324.0
2020-07-20,02,1 wk ahead cum death,quantile,0.025,2020-07-25,18.0
2020-07-20,04,1 wk ahead cum death,quantile,0.025,2020-07-25,2902.0
2020-07-20,05,1 wk ahead cum death,quantile,0.025,2020-07-25,372.0
2020-07-20,06,1 wk ahead cum death,quantile,0.025,2020-07-25,7909.0
2020-07-20,08,1 wk ahead cum death,quantile,0.025,2020-07-25,1755.0
2020-07-20,09,1 wk ahead cum death,quantile,0.025,2020-07-25,4400.0
2020-07-20,10,1 wk ahead cum death,quantile,0.025,2020-07-25,523.0
2020-07-20,11,1 wk ahead cum death,quantile,0.025,2020-07-25,579.0
2020-07-20,12,1 wk ahead cum death,quantile,0.025,2020-07-25,5193.0
2020-07-20,13,1 wk ahead cum death,quantile,0.025,2020-07-25,3204.0
2020-07-20,15,1 wk ahead cum death,quantile,0.025,2020-07-25,24.0
2020-07-20,16,1 wk ahead cum death,quantile,0.025,2020-07-25,121.0
2020-07-20,17,1 wk ahead cum death,quantile,0.025,2020-07-25,7521.0
2020-07-20,18,1 wk ahead cum death,quantile,0.025,2020-07-25,2838.0
2020-07-20,19,1 wk ahead cum death,quantile,0.025,2020-07-25,799.0
2020-07-20,20,1 wk ahead cum death,quantile,0.025,2020-07-25,314.0
2020-07-20,21,1 wk ahead cum death,quantile,0.025,2020-07-25,682.0
2020-07-20,22,1 wk ahead cum death,quantile,0.025,2020-07-25,3589.0
2020-07-20,23,1 wk ahead cum death,quantile,0.025,2020-07-25,117.0
2020-07-20,24,1 wk ahead cum death,quantile,0.025,2020-07-25,3395.0
2020-07-20,25,1 wk ahead cum death,quantile,0.025,2020-07-25,8466.0
2020-07-20,26,1 wk ahead cum death,quantile,0.025,2020-07-25,6380.0
2020-07-20,27,1 wk ahead cum death,quantile,0.025,2020-07-25,1588.0
2020-07-20,28,1 wk ahead cum death,quantile,0.025,2020-07-25,1395.0
2020-07-20,29,1 wk ahead cum death,quantile,0.025,2020-07-25,1149.0
2020-07-20,30,1 wk ahead cum death,quantile,0.025,2020-07-25,38.0
2020-07-20,31,1 wk ahead cum death,quantile,0.025,2020-07-25,302.0
2020-07-20,32,1 wk ahead cum death,quantile,0.025,2020-07-25,666.0
2020-07-20,33,1 wk ahead cum death,quantile,0.025,2020-07-25,399.0
2020-07-20,34,1 wk ahead cum death,quantile,0.025,2020-07-25,15763.0
2020-07-20,35,1 wk ahead cum death,quantile,0.025,2020-07-25,577.0
2020-07-20,36,1 wk ahead cum death,quantile,0.025,2020-07-25,32540.0
2020-07-20,37,1 wk ahead cum death,quantile,0.025,2020-07-25,1688.0
2020-07-20,38,1 wk ahead cum death,quantile,0.025,2020-07-25,92.0
2020-07-20,39,1 wk ahead cum death,quantile,0.025,2020-07-25,3209.0
2020-07-20,40,1 wk ahead cum death,quantile,0.025,2020-07-25,457.0
2020-07-20,41,1 wk ahead cum death,quantile,0.025,2020-07-25,269.0
2020-07-20,42,1 wk ahead cum death,quantile,0.025,2020-07-25,7044.0
2020-07-20,44,1 wk ahead cum death,quantile,0.025,2020-07-25,992.0
2020-07-20,45,1 wk ahead cum death,quantile,0.025,2020-07-25,1231.0
2020-07-20,46,1 wk ahead cum death,quantile,0.025,2020-07-25,119.0
2020-07-20,47,1 wk ahead cum death,quantile,0.025,2020-07-25,889.0
2020-07-20,48,1 wk ahead cum death,quantile,0.025,2020-07-25,4259.0
2020-07-20,49,1 wk ahead cum death,quantile,0.025,2020-07-25,253.0
2020-07-20,50,1 wk ahead cum death,quantile,0.025,2020-07-25,56.0
2020-07-20,51,1 wk ahead cum death,quantile,0.025,2020-07-25,2053.0
2020-07-20,53,1 wk ahead cum death,quantile,0.025,2020-07-25,1471.0
2020-07-20,54,1 wk ahead cum death,quantile,0.025,2020-07-25,100.0
2020-07-20,55,1 wk ahead cum death,quantile,0.025,2020-07-25,848.0
2020-07-20,56,1 wk ahead cum death,quantile,0.025,2020-07-25,25.0
2020-07-20,US,1 wk ahead cum death,quantile,0.025,2020-07-25,142623.0
2020-07-20,01,1 wk ahead cum death,quantile,0.05,2020-07-25,1331.0
2020-07-20,02,1 wk ahead cum death,quantile,0.05,2020-07-25,18.0
2020-07-20,04,1 wk ahead cum death,quantile,0.05,2020-07-25,2923.0
2020-07-20,05,1 wk ahead cum death,quantile,0.05,2020-07-25,375.0
2020-07-20,06,1 wk ahead cum death,quantile,0.05,2020-07-25,7931.0
2020-07-20,08,1 wk ahead cum death,quantile,0.05,2020-07-25,1755.0
2020-07-20,09,1 wk ahead cum death,quantile,0.05,2020-07-25,4401.0
2020-07-20,10,1 wk ahead cum death,quantile,0.05,2020-07-25,523.0
2020-07-20,11,1 wk ahead cum death,quantile,0.05,2020-07-25,579.0
2020-07-20,12,1 wk ahead cum death,quantile,0.05,2020-07-25,5226.0
2020-07-20,13,1 wk ahead cum death,quantile,0.05,2020-07-25,3211.0
2020-07-20,15,1 wk ahead cum death,quantile,0.05,2020-07-25,24.0
2020-07-20,16,1 wk ahead cum death,quantile,0.05,2020-07-25,122.0
2020-07-20,17,1 wk ahead cum death,quantile,0.05,2020-07-25,7526.0
2020-07-20,18,1 wk ahead cum death,quantile,0.05,2020-07-25,2841.0
2020-07-20,19,1 wk ahead cum death,quantile,0.05,2020-07-25,800.0
2020-07-20,20,1 wk ahead cum death,quantile,0.05,2020-07-25,315.0
2020-07-20,21,1 wk ahead cum death,quantile,0.05,2020-07-25,684.0
2020-07-20,22,1 wk ahead cum death,quantile,0.05,2020-07-25,3595.0
2020-07-20,23,1 wk ahead cum death,quantile,0.05,2020-07-25,117.0
2020-07-20,24,1 wk ahead cum death,quantile,0.05,2020-07-25,3398.0
2020-07-20,25,1 wk ahead cum death,quantile,0.05,2020-07-25,8471.0
2020-07-20,26,1 wk ahead cum death,quantile,0.05,2020-07-25,6384.0
2020-07-20,27,1 wk ahead cum death,quantile,0.05,2020-07-25,1590.0
2020-07-20,28,1 wk ahead cum death,quantile,0.05,2020-07-25,1400.0
2020-07-20,29,1 wk ahead cum death,quantile,0.05,2020-07-25,1151.0
2020-07-20,30,1 wk ahead cum death,quantile,0.05,2020-07-25,39.0
2020-07-20,31,1 wk ahead cum death,quantile,0.05,2020-07-25,303.0
2020-07-20,32,1 wk ahead cum death,quantile,0.05,2020-07-25,670.0
2020-07-20,33,1 wk ahead cum death,quantile,0.05,2020-07-25,399.0
2020-07-20,34,1 wk ahead cum death,quantile,0.05,2020-07-25,15772.0
2020-07-20,35,1 wk ahead cum death,quantile,0.05,2020-07-25,579.0
2020-07-20,36,1 wk ahead cum death,quantile,0.05,2020-07-25,32546.0
2020-07-20,37,1 wk ahead cum death,quantile,0.05,2020-07-25,1692.0
2020-07-20,38,1 wk ahead cum death,quantile,0.05,2020-07-25,92.0
2020-07-20,39,1 wk ahead cum death,quantile,0.05,2020-07-25,3213.0
2020-07-20,40,1 wk ahead cum death,quantile,0.05,2020-07-25,459.0
2020-07-20,41,1 wk ahead cum death,quantile,0.05,2020-07-25,271.0
2020-07-20,42,1 wk ahead cum death,quantile,0.05,2020-07-25,7049.0
2020-07-20,44,1 wk ahead cum death,quantile,0.05,2020-07-25,993.0
2020-07-20,45,1 wk ahead cum death,quantile,0.05,2020-07-25,1241.0
2020-07-20,46,1 wk ahead cum death,quantile,0.05,2020-07-25,119.0
2020-07-20,47,1 wk ahead cum death,quantile,0.05,2020-07-25,896.0
2020-07-20,48,1 wk ahead cum death,quantile,0.05,2020-07-25,4294.0
2020-07-20,49,1 wk ahead cum death,quantile,0.05,2020-07-25,256.0
2020-07-20,50,1 wk ahead cum death,quantile,0.05,2020-07-25,56.0
2020-07-20,51,1 wk ahead cum death,quantile,0.05,2020-07-25,2056.0
2020-07-20,53,1 wk ahead cum death,quantile,0.05,2020-07-25,1475.0
2020-07-20,54,1 wk ahead cum death,quantile,0.05,2020-07-25,100.0
2020-07-20,55,1 wk ahead cum death,quantile,0.05,2020-07-25,849.0
2020-07-20,56,1 wk ahead cum death,quantile,0.05,2020-07-25,25.0
2020-07-20,US,1 wk ahead cum death,quantile,0.05,2020-07-25,142822.0
2020-07-20,01,1 wk ahead cum death,quantile,0.1,2020-07-25,1340.0
2020-07-20,02,1 wk ahead cum death,quantile,0.1,2020-07-25,18.0
2020-07-20,04,1 wk ahead cum death,quantile,0.1,2020-07-25,2958.0
2020-07-20,05,1 wk ahead cum death,quantile,0.1,2020-07-25,378.0
2020-07-20,06,1 wk ahead cum death,quantile,0.1,2020-07-25,7965.0
2020-07-20,08,1 wk ahead cum death,quantile,0.1,2020-07-25,1757.0
2020-07-20,09,1 wk ahead cum death,quantile,0.1,2020-07-25,4402.0
2020-07-20,10,1 wk ahead cum death,quantile,0.1,2020-07-25,523.0
2020-07-20,11,1 wk ahead cum death,quantile,0.1,2020-07-25,580.0
2020-07-20,12,1 wk ahead cum death,quantile,0.1,2020-07-25,5274.0
2020-07-20,13,1 wk ahead cum death,quantile,0.1,2020-07-25,3220.0
2020-07-20,15,1 wk ahead cum death,quantile,0.1,2020-07-25,24.0
2020-07-20,16,1 wk ahead cum death,quantile,0.1,2020-07-25,123.0
2020-07-20,17,1 wk ahead cum death,quantile,0.1,2020-07-25,7532.0
2020-07-20,18,1 wk ahead cum death,quantile,0.1,2020-07-25,2844.0
2020-07-20,19,1 wk ahead cum death,quantile,0.1,2020-07-25,802.0
2020-07-20,20,1 wk ahead cum death,quantile,0.1,2020-07-25,317.0
2020-07-20,21,1 wk ahead cum death,quantile,0.1,2020-07-25,687.0
2020-07-20,22,1 wk ahead cum death,quantile,0.1,2020-07-25,3604.0
2020-07-20,23,1 wk ahead cum death,quantile,0.1,2020-07-25,118.0
2020-07-20,24,1 wk ahead cum death,quantile,0.1,2020-07-25,3401.0
2020-07-20,25,1 wk ahead cum death,quantile,0.1,2020-07-25,8477.0
2020-07-20,26,1 wk ahead cum death,quantile,0.1,2020-07-25,6387.0
2020-07-20,27,1 wk ahead cum death,quantile,0.1,2020-07-25,1592.0
2020-07-20,28,1 wk ahead cum death,quantile,0.1,2020-07-25,1406.0
2020-07-20,29,1 wk ahead cum death,quantile,0.1,2020-07-25,1154.0
2020-07-20,30,1 wk ahead cum death,quantile,0.1,2020-07-25,39.0
2020-07-20,31,1 wk ahead cum death,quantile,0.1,2020-07-25,304.0
2020-07-20,32,1 wk ahead cum death,quantile,0.1,2020-07-25,675.0
2020-07-20,33,1 wk ahead cum death,quantile,0.1,2020-07-25,400.0
2020-07-20,34,1 wk ahead cum death,quantile,0.1,2020-07-25,15785.0
2020-07-20,35,1 wk ahead cum death,quantile,0.1,2020-07-25,580.0
2020-07-20,36,1 wk ahead cum death,quantile,0.1,2020-07-25,32556.0
2020-07-20,37,1 wk ahead cum death,quantile,0.1,2020-07-25,1698.0
2020-07-20,38,1 wk ahead cum death,quantile,0.1,2020-07-25,93.0
2020-07-20,39,1 wk ahead cum death,quantile,0.1,2020-07-25,3219.0
2020-07-20,40,1 wk ahead cum death,quantile,0.1,2020-07-25,461.0
2020-07-20,41,1 wk ahead cum death,quantile,0.1,2020-07-25,274.0
2020-07-20,42,1 wk ahead cum death,quantile,0.1,2020-07-25,7054.0
2020-07-20,44,1 wk ahead cum death,quantile,0.1,2020-07-25,994.0
2020-07-20,45,1 wk ahead cum death,quantile,0.1,2020-07-25,1254.0
2020-07-20,46,1 wk ahead cum death,quantile,0.1,2020-07-25,120.0
2020-07-20,47,1 wk ahead cum death,quantile,0.1,2020-07-25,905.0
2020-07-20,48,1 wk ahead cum death,quantile,0.1,2020-07-25,4336.0
2020-07-20,49,1 wk ahead cum death,quantile,0.1,2020-07-25,258.0
2020-07-20,50,1 wk ahead cum death,quantile,0.1,2020-07-25,56.0
2020-07-20,51,1 wk ahead cum death,quantile,0.1,2020-07-25,2061.0
2020-07-20,53,1 wk ahead cum death,quantile,0.1,2020-07-25,1479.0
2020-07-20,54,1 wk ahead cum death,quantile,0.1,2020-07-25,100.0
2020-07-20,55,1 wk ahead cum death,quantile,0.1,2020-07-25,851.0
2020-07-20,56,1 wk ahead cum death,quantile,0.1,2020-07-25,25.0
2020-07-20,US,1 wk ahead cum death,quantile,0.1,2020-07-25,143084.0
2020-07-20,01,1 wk ahead cum death,quantile,0.15,2020-07-25,1347.0
2020-07-20,02,1 wk ahead cum death,quantile,0.15,2020-07-25,19.0
2020-07-20,04,1 wk ahead cum death,quantile,0.15,2020-07-25,2985.0
2020-07-20,05,1 wk ahead cum death,quantile,0.15,2020-07-25,380.0
2020-07-20,06,1 wk ahead cum death,quantile,0.15,2020-07-25,7988.0
2020-07-20,08,1 wk ahead cum death,quantile,0.15,2020-07-25,1758.0
2020-07-20,09,1 wk ahead cum death,quantile,0.15,2020-07-25,4403.0
2020-07-20,10,1 wk ahead cum death,quantile,0.15,2020-07-25,524.0
2020-07-20,11,1 wk ahead cum death,quantile,0.15,2020-07-25,581.0
2020-07-20,12,1 wk ahead cum death,quantile,0.15,2020-07-25,5308.0
2020-07-20,13,1 wk ahead cum death,quantile,0.15,2020-07-25,3226.0
2020-07-20,15,1 wk ahead cum death,quantile,0.15,2020-07-25,25.0
2020-07-20,16,1 wk ahead cum death,quantile,0.15,2020-07-25,124.0
2020-07-20,17,1 wk ahead cum death,quantile,0.15,2020-07-25,7537.0
2020-07-20,18,1 wk ahead cum death,quantile,0.15,2020-07-25,2846.0
2020-07-20,19,1 wk ahead cum death,quantile,0.15,2020-07-25,803.0
2020-07-20,20,1 wk ahead cum death,quantile,0.15,2020-07-25,318.0
2020-07-20,21,1 wk ahead cum death,quantile,0.15,2020-07-25,689.0
2020-07-20,22,1 wk ahead cum death,quantile,0.15,2020-07-25,3610.0
2020-07-20,23,1 wk ahead cum death,quantile,0.15,2020-07-25,118.0
2020-07-20,24,1 wk ahead cum death,quantile,0.15,2020-07-25,3403.0
2020-07-20,25,1 wk ahead cum death,quantile,0.15,2020-07-25,8481.0
2020-07-20,26,1 wk ahead cum death,quantile,0.15,2020-07-25,6390.0
2020-07-20,27,1 wk ahead cum death,quantile,0.15,2020-07-25,1593.0
2020-07-20,28,1 wk ahead cum death,quantile,0.15,2020-07-25,1411.0
2020-07-20,29,1 wk ahead cum death,quantile,0.15,2020-07-25,1157.0
2020-07-20,30,1 wk ahead cum death,quantile,0.15,2020-07-25,40.0
2020-07-20,31,1 wk ahead cum death,quantile,0.15,2020-07-25,305.0
2020-07-20,32,1 wk ahead cum death,quantile,0.15,2020-07-25,678.0
2020-07-20,33,1 wk ahead cum death,quantile,0.15,2020-07-25,400.0
2020-07-20,34,1 wk ahead cum death,quantile,0.15,2020-07-25,15794.0
2020-07-20,35,1 wk ahead cum death,quantile,0.15,2020-07-25,581.0
2020-07-20,36,1 wk ahead cum death,quantile,0.15,2020-07-25,32563.0
2020-07-20,37,1 wk ahead cum death,quantile,0.15,2020-07-25,1703.0
2020-07-20,38,1 wk ahead cum death,quantile,0.15,2020-07-25,93.0
2020-07-20,39,1 wk ahead cum death,quantile,0.15,2020-07-25,3224.0
2020-07-20,40,1 wk ahead cum death,quantile,0.15,2020-07-25,462.0
2020-07-20,41,1 wk ahead cum death,quantile,0.15,2020-07-25,275.0
2020-07-20,42,1 wk ahead cum death,quantile,0.15,2020-07-25,7059.0
2020-07-20,44,1 wk ahead cum death,quantile,0.15,2020-07-25,995.0
2020-07-20,45,1 wk ahead cum death,quantile,0.15,2020-07-25,1265.0
2020-07-20,46,1 wk ahead cum death,quantile,0.15,2020-07-25,121.0
2020-07-20,47,1 wk ahead cum death,quantile,0.15,2020-07-25,912.0
2020-07-20,48,1 wk ahead cum death,quantile,0.15,2020-07-25,4372.0
2020-07-20,49,1 wk ahead cum death,quantile,0.15,2020-07-25,260.0
2020-07-20,50,1 wk ahead cum death,quantile,0.15,2020-07-25,56.0
2020-07-20,51,1 wk ahead cum death,quantile,0.15,2020-07-25,2064.0
2020-07-20,53,1 wk ahead cum death,quantile,0.15,2020-07-25,1482.0
2020-07-20,54,1 wk ahead cum death,quantile,0.15,2020-07-25,100.0
2020-07-20,55,1 wk ahead cum death,quantile,0.15,2020-07-25,852.0
2020-07-20,56,1 wk ahead cum death,quantile,0.15,2020-07-25,25.0
2020-07-20,US,1 wk ahead cum death,quantile,0.15,2020-07-25,143272.0
2020-07-20,01,1 wk ahead cum death,quantile,0.2,2020-07-25,1353.0
2020-07-20,02,1 wk ahead cum death,quantile,0.2,2020-07-25,19.0
2020-07-20,04,1 wk ahead cum death,quantile,0.2,2020-07-25,3006.0
2020-07-20,05,1 wk ahead cum death,quantile,0.2,2020-07-25,382.0
2020-07-20,06,1 wk ahead cum death,quantile,0.2,2020-07-25,8009.0
2020-07-20,08,1 wk ahead cum death,quantile,0.2,2020-07-25,1759.0
2020-07-20,09,1 wk ahead cum death,quantile,0.2,2020-07-25,4404.0
2020-07-20,10,1 wk ahead cum death,quantile,0.2,2020-07-25,524.0
2020-07-20,11,1 wk ahead cum death,quantile,0.2,2020-07-25,581.0
2020-07-20,12,1 wk ahead cum death,quantile,0.2,2020-07-25,5339.0
2020-07-20,13,1 wk ahead cum death,quantile,0.2,2020-07-25,3232.0
2020-07-20,15,1 wk ahead cum death,quantile,0.2,2020-07-25,25.0
2020-07-20,16,1 wk ahead cum death,quantile,0.2,2020-07-25,125.0
2020-07-20,17,1 wk ahead cum death,quantile,0.2,2020-07-25,7541.0
2020-07-20,18,1 wk ahead cum death,quantile,0.2,2020-07-25,2849.0
2020-07-20,19,1 wk ahead cum death,quantile,0.2,2020-07-25,804.0
2020-07-20,20,1 wk ahead cum death,quantile,0.2,2020-07-25,319.0
2020-07-20,21,1 wk ahead cum death,quantile,0.2,2020-07-25,691.0
2020-07-20,22,1 wk ahead cum death,quantile,0.2,2020-07-25,3615.0
2020-07-20,23,1 wk ahead cum death,quantile,0.2,2020-07-25,119.0
2020-07-20,24,1 wk ahead cum death,quantile,0.2,2020-07-25,3406.0
2020-07-20,25,1 wk ahead cum death,quantile,0.2,2020-07-25,8485.0
2020-07-20,26,1 wk ahead cum death,quantile,0.2,2020-07-25,6392.0
2020-07-20,27,1 wk ahead cum death,quantile,0.2,2020-07-25,1594.0
2020-07-20,28,1 wk ahead cum death,quantile,0.2,2020-07-25,1415.0
2020-07-20,29,1 wk ahead cum death,quantile,0.2,2020-07-25,1159.0
2020-07-20,30,1 wk ahead cum death,quantile,0.2,2020-07-25,41.0
2020-07-20,31,1 wk ahead cum death,quantile,0.2,2020-07-25,305.0
2020-07-20,32,1 wk ahead cum death,quantile,0.2,2020-07-25,681.0
2020-07-20,33,1 wk ahead cum death,quantile,0.2,2020-07-25,401.0
2020-07-20,34,1 wk ahead cum death,quantile,0.2,2020-07-25,15803.0
2020-07-20,35,1 wk ahead cum death,quantile,0.2,2020-07-25,582.0
2020-07-20,36,1 wk ahead cum death,quantile,0.2,2020-07-25,32568.0
2020-07-20,37,1 wk ahead cum death,quantile,0.2,2020-07-25,1707.0
2020-07-20,38,1 wk ahead cum death,quantile,0.2,2020-07-25,94.0
2020-07-20,39,1 wk ahead cum death,quantile,0.2,2020-07-25,3228.0
2020-07-20,40,1 wk ahead cum death,quantile,0.2,2020-07-25,464.0
2020-07-20,41,1 wk ahead cum death,quantile,0.2,2020-07-25,277.0
2020-07-20,42,1 wk ahead cum death,quantile,0.2,2020-07-25,7063.0
2020-07-20,44,1 wk ahead cum death,quantile,0.2,2020-07-25,996.0
2020-07-20,45,1 wk ahead cum death,quantile,0.2,2020-07-25,1275.0
2020-07-20,46,1 wk ahead cum death,quantile,0.2,2020-07-25,122.0
2020-07-20,47,1 wk ahead cum death,quantile,0.2,2020-07-25,917.0
2020-07-20,48,1 wk ahead cum death,quantile,0.2,2020-07-25,4400.0
2020-07-20,49,1 wk ahead cum death,quantile,0.2,2020-07-25,262.0
